Type,License No,Business Name,Address,City,State,Zip,Issued or Renewed Date,Expiration Date,County
PCM,30000,AVILA LANDSCAPE INC.,2296 N BATAVIA ST C,ORANGE,CA,92665,1/1/2015,12/31/2016,ORANGE
PCM,30003,BLAIR AIR SERVICE,19101 KENT AVE,LEMOORE,CA,93245,1/1/2015,12/31/2016,KINGS
PCM,30004,ANIMAL DAMAGE MANAGEMENT INC.,16170 VINEYARD BLVD #150,MORGAN HILL,CA,95037,1/1/2015,12/31/2016,SANTA CLARA
PCM,30006,MOORE GARY D. & SUSAN M. CHIP SPRAYING SERVICE,8490 LAKESHORE DR,CHOWCHILLA,CA,93610,1/1/2016,12/31/2017,MERCED
PCM,30011,BAKER PETROLITE CORPORATION,12645 WEST AIRPORT BLVD ATTN GARY SISSON,SUGARLAND,TX,77478-6120,1/1/2015,12/31/2016,KERN
PCM,30015,MANN & SONS AG AVIATION,175 COUNTY ROAD G,WILLOWS,CA,95988,1/13/2016,12/31/2017,STANISLAUS
PCM,30016,DE MARTINI INC. (E),5013 JENNINGS  RD,MODESTO,CA,95358,1/1/2015,12/31/2016,STANISLAUS
PCM,30021,MRS. BUGFREE INC.,140 KENNEDY  AVE,CAMPBELL,CA,95008,1/1/2016,12/31/2017,SANTA CLARA
PCM,30023,LANDSCAPE CARE CO.,4026 PACHECO BLVD,MARTINEZ,CA,94553,1/1/2015,12/31/2016,CONTRA COSTA
PCM,30024,TOM FLYNN & SONS LANDSCAPING,PO BOX 429,PASO ROBLES,CA,93446,1/1/2016,12/31/2017,SAN LUIS OBISPO
PCM,30025,MARTIN FARMS INC.,500 MART  AVE,WATERFORD,CA,95386,1/1/2016,12/31/2017,STANISLAUS
PCM,30033,ECOLAB INC.,18383 E RAILROAD ST,CITY OF INDUSTRY,CA,91748,1/1/2015,12/31/2016,LOS ANGELES
PCB,30034,ECOLAB INC.,18383 E RAILROAD ST,CITY OF INDUSTRY,CA,94583,1/1/2015,12/31/2016,SACRAMENTO
PCM,30037,WINCHESTER PEST CONTROL,1460 HILLSDALE AVE,SAN JOSE,CA,95118,1/1/2016,12/31/2017,SANTA CLARA
PCM,30038,ENVIRONTECH,1032 MARIPOSA ST,VALLEJO,CA,94590,1/1/2015,12/31/2016,SOLANO
PCM,30041,GS BROTHERS INC.,2215 N GAFFEY ST,SAN PEDRO,CA,90731,1/1/2015,12/31/2016,LOS ANGELES
PCM,30043,CALIF AMERICAN EXTERMINATOR (E),PO BOX 129,BOULDER CREEK,CA,95006,1/1/2015,12/31/2016,SANTA CRUZ
PCM,30044,LAWN PERFECTION,1794 ROMAN AVE,CAMARILLO,CA,93010,1/1/2015,12/31/2016,VENTURA
PCM,30048,COVE RANCH MANAGEMENT INC.,1315 E CURTIS AVE,REEDLEY,CA,93654,1/1/2015,12/31/2016,FRESNO
PCM,30049,MAYNE TREE EXPERT CO. INC.,535 BRAGATO RD STE  A,SAN  CARLOS,CA,94070,1/1/2016,12/31/2017,SAN MATEO
